CompanyId,NameEN,NameHE,SubId,SeedReportId
256,FORMULA,פורמולה מערכות,256016,1652500
1140,FOX,פוקס,1087022,1666600
1403,FRIDENSON,פרידנזון,1102219,1101400
1765,G 1 SECU. SOLUT,ג'י וואן,1156280,1684800
126,G CITY,ג'י סיטי,126011,1586500
2480,G T,"ג'י טי נדל""ן",1224849,
1568,G.F.C GREEN,ג'י.אף.סי גרין,1122688,1716200
1731,G.P. GLOBAL-M,ג'י.פי. גלובל-ש,1144781,1473000
2427,G.S.E DEPOSITS,ג'י.אס.אי פקדונ,1210483,1684400
2483,GABAY GROUP,גבאי קבוצה,1233634,
771,GABAY PROPERT,גבאי מניבים,1211796,
2509,GAD DAIRIES,מחלבות גד,1228808,
954,GALIL,ממשל צמודה,,
959,GALIL,ב. ישראל-גליל מ,,
1510,GAMA MANAGEMENT,גמא ניהול,1223841,
532,GAN SHMUEL,גן שמואל,532010,1199200
454,GAON GROUP,גאון קבוצה,454017,1507000
1418,GAS LINES-INGL,נתיבי הגז,1125509,1622500
759,GAV YAM,גב ים,759019,1357750
1532,GEFFEN R&R,גפן מגורים,1118116,1712500
1820,GENCELL,ג'נסל,1169689,1618750
1769,GENERATION CAPI,ג'נריישן קפיטל,1156926,1379500
2440,GESHEM,גשם למשתכן,1227305,
1639,GFI,ג'י.אף.איי,1218767,1714400
448,GIBUI HOLDINGS,גיבוי אחזקות,448019,1480000
1736,GILAD DEPOSITS,גלעד פקדונות,1210541,1605250
1905,GILAD MAY,גלעד מאי,1226018,1449250
2030,GILAT,גילת,1082510,1695400
1006,GILAT TELECOM,גילת טלקום,1080597,1556500
968,GILBOA,בנק ישראל-גלבוע,,
922,GILON,בנק ישראל-גילון,,
1301,GINEGAR,גניגר,1095892,1402750
1130,GIRON DEVELOP.,גירון פיתוח,1183151,1334600
506,GIVOT,גבעות יהש,506022,1517400
744,GIX INTERNET,גיקס אינטרנט,744011,1689800
1559,GLOBAL KNAFAIM,גלובל כנפיים,1141316,1135300
1070,GLOBAL PAY-M,גלובל פיי-ש,1081983,1698600
1548,GLOBE ENERGY-M,גלוב אנרגיה-ש,1119833,1437400
1741,GLOBRANDS GROUP,גלוברנדס גרופ,1147487,1606600
1226,GOLAN INDUS,גולן תעשיות,1091933,
149,GOLD,גולד,149013,1310800
2156,GOLDEN ENERGY,גולדן אנרג'י,1083443,1480800
235,GOLDEN HOUSE,בית הזהב,235010,
1310,GOLF,גולף,1096148,1686800
1939,GOTO,גוטו,1176726,1655200
1997,GRACE BREEDING,גרייס ברידינג,1184365,1439000
2453,GREYSTONE,גרייסטון,1213834,
1960,GROUP 107,גרופ 107,1180181,1690000
1187,HACHSHARA INSUR,הכשרה חב לביטוח,1156025,1687750
1294,HADASIT BIO-M,הדסית ביו-ש,1095405,1279900
1722,HAGAG EUROPE,חג'ג' אירופה,1143635,1699600
823,HAGAG REAL EST,"חג'ג' נדל""ן",823013,1643400
1453,HAMAMA,חממה סחר,1104785,1627200
1459,HAMASHBIR 365,המשביר 365,1104959,
384,HAMAT,חמת,384016,1622600
1781,HAREL EXCH DEPO,הראל פקדון סחיר,1191386,1435750
2457,HAREL INTERESTS,הראל ריביות,1218783,1686250
585,HAREL INVEST,הראל השקעות,585018,1461250
1367,HAREL ISSUES,הראל הנפקות,1136316,1704000
1110,HILAN,חילן,1084698,1513750
1830,HILLA OFFICES,הילה משרדים,1209063,1718600
2369,HIPER,הייפר,1184985,1603000
150,HIRON,חירון,150011,
1885,HIVE 2040 R&D,"הייב 2040 מו""פ",1177765,
351,HOD-ASSAF,חד-אסף,351015,
1706,HOLMES PLACE,הולמס פלייס,1142587,1593200
1845,HOMEBIOGAS,הום ביוגז,1172204,1681000
1825,HUMAN XTENSIO-M,יומן אקסטנשנס-ש,1170000,
2467,I.B.I DEPO,איביאי פקדונות,1221720,
1608,I.D.I INSURANCE,איידיאיי ביטוח,1129501,1636600
1566,I.D.I ISSUES,איידיאיי הנפקות,1229350,1693600
2524,I.S.A,אי.אס.איי,1234574,
1842,IARGENTO,איי ארגנטו,1173343,1630800
175,IBI INV HOUSE,איביאי בית השק,175018,1573750
1106,IBI UNDERWRIT,איביאי חיתום,1084482,1462200
1435,IC HOTELS,ישראל קנדה מלונ,1103852,1719000
281,ICL,איי.סי.אל,281014,1650250
1993,ICON GROUP,אייקון גרופ,1182484,1547800
1921,IDENTI HEALTH,איידנטי הלת',1177450,1615400
1890,IDOMOO,אידומו,1176346,1657750
431,IES,אייאיאס,431015,1706800
976,IL DUAL,ממשל דואלי,,
975,IL T-BILL,ממשל קצרה,,
1561,ILD RENEWAL,הכשרה התחדשות,1121474,
1019,ILEX MEDICAL,אילקס מדיקל,1080753,1612800
2357,IMAGESAT,אימאג'סט אינט',1183813,1452200
282,IMCO,אימקו,282012,1714000
1833,IMED INFINITY,אימד אינפיניטי,1171230,1619400
2530,INPLAY,אינפליי,1236207,
1616,INROM CONSTRUCT,אינרום בנייה,1132356,1488000
1028,INTER INDSTRIES,אינטר תעשיות,1080928,1580800
1480,INTERCURE,אינטרקיור,1106376,1422250
174,INTERGAMA,אינטרגאמא,174011,
1153,INTERNA ISSUES,בינלאומי הנפקות,1182385,1440600
2430,ISPRO,ישפרו,1215763,1566250
1773,ISRACARD,ישראכרט,1157403,1703500
434,ISRAEL CANADA,ישראל קנדה,434019,1633750
576,ISRAEL CORP.,חברה לישראל,576017,1360000
1551,ISRAEL OPPORT.,הזדמנות ישראלית,1119924,1532500
1739,ISRAEL PORTS,נמלי ישראל,1145572,1637200
1641,ISRAEL RAILWAYS,רכבת ישראל,1177625,
1810,ISRAEL SHIPYARD,מספנות ישראל,1168533,1447200
1238,ISRAIR GROUP,ישראייר גרופ,1187194,1584800
232,ISRAMCO,ישראמקו יהש,232017,1533250
613,ISRAS,ישרס,613034,1461600
2435,ISRAS HOLDINGS,ישרס אחזקות,1202977,1587600
1032,ISROTEL,ישרוטל,1080985,1684000
1036,ISSTA,איסתא,1081074,1659250
2520,ISTA ASSETS,איסתא נכסים,1232867,1659250
2364,JACOB FINANCE,יעקב פיננסים,1185057,
1370,JEEN AI TECH,ג'ין טכנולוגיות,1099787,1215100
726,JERUSALEM BANK,ירושלים,726018,1553000
1248,JERUSALEM ISSUA,ירושלים הנפקות,1172170,1553000
2396,JORDAN ESHEL,אשל הירדן,1225317,
1929,JUNGO,ג'נגו,1178862,
522,KAFRIT,כפרית,522011,1700500
1267,KAMADA,קמהדע,1094119,1547000
121,KARDAN ISRAEL,קרדן ישראל,1210152,1679200
1154,KARDAN N.V-M,קרדן אן.וי-ש,1087949,1456750
1083,KARDAN REAL EST,"קרדן נדל""ן",1118447,1593600
2521,KATA GROUP,קטה גרופ,1233386,
1635,KENON HOLDINGS,קנון הולדינגס,1134139,1516750
621,KERUR,קרור,621011,1687200
1904,KEYSTONE INFRA,קיסטון אינפרא,1175934,1486000
797,KLIL,קליל,797035,1591000
543,KNAFAIM,כנפיים,543017,1648000
826,LACHISH,לכיש,826016,1541800
136,LAHAV,להב,136010,1399750
612,LAND DEV,הכשרת הישוב,612010,1614250
2503,LANTERRA CANADA,לנטרה קנדה,1227628,
642,LAPIDOTH CAP.,לפידות קפיטל,642017,1259800
1216,LAPIDOTH HELETZ,לפידות חלץ יהש,1091248,1655500
1680,LESICO,לסיכו,1140946,1344200
604,LEUMI BANK,לאומי,604611,1704250
719,LEVI-M,לוי,7190242,1708600
200,LEVINSKI OFER,לוינסקי עופר,200014,1569250
573,LEVINSTEIN ENG,לוינשטין הנדסה,573014,1382500
1536,LEVINSTEIN PROP,לוינשטין נכסים,1182799,1258000
2474,LIAM BUSINESS,ליאם חריש עסקים,1222496,
584,LIBENTAL,ליבנטל,584011,
1926,LIBRA,ליברה,1176981,1657200
1630,LIGHTSTON,לייטסטון,1204296,1564750
1651,LINEAGE THERAP,ליניאג תרפיוטיק,1136365,1506250
1579,LIVEPERSON,לייבפרסון,1123017,1517200
2506,LIVING STONE,ליווינג סטון,1230051,
